mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4324492931365967,0.07779009063379484,0.0034341812133789062,0.0007761343386903159,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",-0.13707142880430728,-0.08987781958708173,-0.08930622111407464,-0.10266775446026347,-0.21469506754515713,-0.12672365830217686,0.047291462537241195,16
0.9345675468444824,0.15748310504135188,0.005809307098388672,0.003523199441149981,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-0.1308750027144447,-0.08363222501207303,-0.0847319932894697,-0.09563582626996027,-0.20341708930963565,-0.11965842731911666,0.04524633339819556,7
1.9434169292449952,0.34348733328042536,0.010649681091308594,0.005082662452632955,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.12764472035335128,-0.08207342920836373,-0.08126552459711572,-0.09099259016653634,-0.19092257527866557,-0.11457976792080653,0.0417654714721946,2
0.6602932453155518,0.26970252840326964,0.002752065658569336,0.0007571091802782861,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",-0.13640768849845886,-0.08918676226417703,-0.08828724016041002,-0.10053661212310422,-0.2100932082447802,-0.12490230225818606,0.04604305333185682,13
1.2292156219482422,0.2261551242400753,0.00653986930847168,0.002062074042325918,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-0.13258052777988252,-0.08443105284340281,-0.08384470089302101,-0.09332555738994917,-0.19629237833889324,-0.11809484344902976,0.04299890721473631,4
2.0488474369049072,0.18347587188915632,0.006833887100219727,0.0028636172358086427,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-0.13605754101382125,-0.08745735440365786,-0.08445288605202253,-0.08839425592402689,-0.18761852444487592,-0.11679611236768088,0.04025004134841535,3
0.8706710815429688,0.13079199741917621,0.003964281082153321,0.0013135699395370984,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",-0.1392285618575625,-0.08937772306646216,-0.0853721181248234,-0.10475503697201725,-0.2102891924785521,-0.1258045264998835,0.046309040533312536,15
1.7771334171295166,0.05556993062560249,0.006348037719726562,0.001729388345855363,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",-0.13889317475824112,-0.08571180929850412,-0.08379840234545795,-0.10011461708491733,-0.19930740961341953,-0.12156508262010801,0.04362575845071414,8
3.446208381652832,0.3418562392513737,0.009299993515014648,0.0007633811000216476,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",-0.14988534887134833,-0.0897823341058778,-0.0862966565078849,-0.09686936217830412,-0.19324159364844623,-0.12321505906237226,0.041928107980514384,10
0.3128927230834961,0.029078465312266925,0.0028849124908447267,0.0007765530716420889,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-0.1300928354592675,-0.08666970491185244,-0.08124996130321825,-0.09054067492059244,-0.18341784427139196,-0.11439420417326451,0.03859245902811178,1
0.6126216888427735,0.02737033212806236,0.0021540641784667967,0.00021986544089493216,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-0.1347529181073399,-0.09544744609712788,-0.08453201351910605,-0.09443432060971893,-0.1831895120873916,-0.11847124208413687,0.03664229102429834,5
1.1129953861236572,0.03925845850021782,0.003714132308959961,0.0009337331237413381,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.1449361825501368,-0.10697364609672567,-0.088699082365805,-0.09801533526567645,-0.1868167119587048,-0.12508819164740975,0.03630315840303441,14
0.603923225402832,0.1287169056993343,0.005738496780395508,0.003613103144011986,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",-0.14326772245661334,-0.09423866795675469,-0.09052151298790023,-0.09061808091997668,-0.19028013756001935,-0.12178522437625286,0.039650155377741726,9
1.621792459487915,0.2533644246752606,0.004385471343994141,0.0013685533390523858,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-0.14707059158171612,-0.10014479550275543,-0.09077498500209977,-0.09544865327666846,-0.18962590549720526,-0.124612986172089,0.038276062260777434,11
2.475734281539917,0.8524001529792826,0.007353734970092773,0.004434744410079995,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-0.15533132295328844,-0.10840754333823321,-0.09830937530691547,-0.10108756100027365,-0.19810050962884942,-0.13224726244551205,0.03888589306887237,21
0.9077062606811523,0.12442047381989078,0.004467153549194336,0.0017417743442310484,0.1,7,50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",-0.1639273299245108,-0.09442800439254345,-0.08995586392422399,-0.10309462072448392,-0.1931919661490638,-0.12891955702296518,0.041788157786553495,17
1.832166814804077,0.25377284087914864,0.008353853225708007,0.006879837782582273,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",-0.1672345629023436,-0.0981007293803108,-0.093117888545687,-0.10499139529519545,-0.195126171891716,-0.13171414960305058,0.041512463950402735,18
3.373634433746338,0.697252599262142,0.007965803146362305,0.0016469267025637753,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",-0.16842507048077382,-0.10172262362672158,-0.0967505421342751,-0.10710714018836766,-0.19891270856468196,-0.134583616998964,0.04135122540501787,22
0.37601356506347655,0.11459744418838488,0.0026531219482421875,0.0006163509382437879,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",-0.1383642268789034,-0.09313487803294336,-0.0850779125303959,-0.09308662776579078,-0.18358157951464055,-0.1186490449445348,0.037513606228096956,6
0.7016052722930908,0.04733523808730011,0.0031992435455322266,0.0008946100458464989,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",-0.14909249569697106,-0.10288675157335102,-0.0888635238577311,-0.09648714967602115,-0.18647378406684822,-0.1247607409741845,0.03732830440712775,12
1.482713556289673,0.2590063000816198,0.005388689041137695,0.002039479034844283,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",-0.15330695571310218,-0.1125389036842282,-0.0956227513833405,-0.10367389364927389,-0.1939243590062266,-0.13181337268723428,0.0368587716535574,20
0.6697392463684082,0.15773186324342173,0.0030899524688720705,0.0007460950714675465,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",-0.16051969210206965,-0.10706988812111927,-0.09315753190072734,-0.09929723853914983,-0.1987425602086675,-0.1317573821743467,0.041151831738720036,19
1.059870195388794,0.09645290315713562,0.0041064262390136715,0.0010750733768613678,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",-0.1660946155440908,-0.1153429369362508,-0.09887295160375709,-0.10738822694327288,-0.2084503169183308,-0.1392298095891405,0.04177640839251027,26
2.253923225402832,0.3012185827201769,0.006848812103271484,0.0022716379135171282,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",-0.17033767712500789,-0.12005546672673713,-0.10469055199221587,-0.11421350497769496,-0.21553735406517444,-0.14496691097736605,0.04198190167408193,27
0.8302621841430664,0.16607028315109254,0.003232717514038086,0.0011083535863948971,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",-0.16685682526345386,-0.10817555161173512,-0.09221820779733743,-0.10697441409817379,-0.20325720761943256,-0.13549644127802657,0.04244511203590594,23
1.5865739345550538,0.26712140375154814,0.004206991195678711,0.0007950196645508605,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",-0.17243081296719845,-0.11053173251588685,-0.09428812220327742,-0.10885762601494967,-0.20389568760089116,-0.1380007962604407,0.04252583794209168,24
2.8610141277313232,0.3428216677019683,0.006610345840454101,0.0011750338226155952,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",-0.17395395724079374,-0.11167468292596852,-0.09545867505527894,-0.10955431436791768,-0.20452408723442225,-0.1390331433648762,0.04248469836485555,25
